504,1883
1309,393
718,106
876,2122
1293,1911
189,1029
2207,50
1764,270
1369,610
1,42
4,610
4,553
1250,1948
250,2202
111,1591
1883,1268
1923,2328
1066,2083
1009,51
1923,1911
1824,2207
868,1485
904,393
425,50
1,42
189,2230
4,1733
2326,1948
2334,2337
133,1268
1831,1304
11,1509
1118,2086
1618,4
